Inc+A1:F52ident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
2441025,2024-12-31,0,240,Motor vehicle theft,1,18F40,"Other, Unknown",9330,WESTHEIMER,RD,,HOUSTON,77063.0,-95.527701,29.737303
181124024,2024-12-31,0,13A,Aggravated Assault,1,22B30,"Service, Gas Station",50,ALDINE BENDER,RD,,HOUSTON,77060.0,-95.410322,29.931717
181127924,2024-12-31,0,23F,Theft from motor vehicle,1,13D10,Restaurant,4916,TELEPHONE,RD,,HOUSTON,77087.0,-95.298802,29.69116
181129424,2024-12-31,0,90J,Trespass of real property,1,18F60,"Residence, Home (Includes Apartment)",9039,SANDSTONE,,,HOUSTON,77036.0,-95.542797,29.697609
181130824,2024-12-31,0,90Z,All other offenses,1,15E20,"Commercial, Office Building",10804,POST OAK,RD,S,HOUSTON,77035.0,-95.464017,29.664159
181132224,2024-12-31,0,11D,Forcible fondling,2,1A10,Park/Playground,1100-1199,BAGBY,ST,,HOUSTON,77002.0,-95.370682,29.759317
181133024,2024-12-31,0,240,Motor vehicle theft,1,8C20,"Residence, Home (Includes Apartment)",4832,BATON ROUGE,ST,,HOUSTON,77028.0,-95.319829,29.818506
181134524,2024-12-31,0,240,Motor vehicle theft,1,17E10,"Highway, Road, Street, Alley",6865,SOUTHWEST,FWY,,HOUSTON,77074.0,-95.504209,29.711789
181136024,2024-12-31,0,90Z,All other offenses,1,16E20,"Residence, Home (Includes Apartment)",4122,BROOKFIELD,DR,,HOUSTON,77045.0,-95.439266,29.615043
181136924,2024-12-31,0,240,Motor vehicle theft,1,13D20,"Residence, Home (Includes Apartment)",8200,BROADWAY,ST,,HOUSTON,77061.0,-95.277171,29.6747
181137024,2024-12-31,0,13B,Simple assault,1,18F60,"Residence, Home (Includes Apartment)",7902,PRESTWOOD,DR,,HOUSTON,77036.0,-95.52402,29.717039
181156224,2024-12-31,0,23F,Theft from motor vehicle,1,18F30,"Parking Lot, Garage",5701,BEVERLY HILL,ST,,HOUSTON,77057.0,-95.478954,29.730171
181179224,2024-12-31,0,23H,All other larceny,1,2A50,"Highway, Road, Street, Alley",5206,CORNISH,ST,,HOUSTON,77007.0,-95.413836,29.778444
181256124,2024-12-31,0,240,Motor vehicle theft,1,2A60,"Highway, Road, Street, Alley",1754,SEASPRAY,CT,,HOUSTON,77008.0,-95.435088,29.801295
181377324,2024-12-31,0,23F,Theft from motor vehicle,1,20G70,"Parking Lot, Garage",1910,WESTMEAD,DR,,HOUSTON,77077.0,-95.614504,29.746152
181138824,2024-12-31,1,90D,Driving under the influence,1,11H20,"Highway, Road, Street, Alley",7005,IH 45,FWY,S,HOUSTON,77087.0,-95.295451,29.702131
181140424,2024-12-31,1,90Z,All other offenses,1,17E10,"Highway, Road, Street, Alley",5576,GULFTON,ST,,HOUSTON,77081.0,-95.477267,29.716517
181141224,2024-12-31,1,13B,Simple assault,1,21I60,"Airplane, Bus,Train Terminal",3950,TERMINAL,RD,S,HOUSTON,77032.0,-95.333845,29.985966
181142524,2024-12-31,1,220,"Burglary, Breaking and Entering",1,18F40,"Service, Gas Station",7802,WESTHEIMER,RD,,HOUSTON,77063.0,-95.505167,29.737563
181143224,2024-12-31,1,520,Weapon law violations,1,14D40,"Highway, Road, Street, Alley",5507,GREYLOG,DR,,HOUSTON,77048.0,-95.338568,29.639666
181144024,2024-12-31,1,35A,"Drug, narcotic violations",1,6B40,"Highway, Road, Street, Alley",1100,DEWALT,ST,,HOUSTON,77088.0,-95.429999,29.882016
181145424,2024-12-31,1,13A,Aggravated Assault,1,2A20,"Residence, Home (Includes Apartment)",1008,KELLEY,ST,,HOUSTON,77009.0,-95.358676,29.8132
181147824,2024-12-31,1,120,Robbery,1,6B30,"Residence, Home (Includes Apartment)",3500,LITTLE YORK,RD,W,HOUSTON,77088.0,-95.459792,29.863439
181149924,2024-12-31,1,13B,Simple assault,1,17E10,"Bar, Nightclub",6469,HILLCROFT,AVE,,HOUSTON,77081.0,-95.493687,29.711715
181151924,2024-12-31,1,23H,All other larceny,1,4F30,"Residence, Home (Includes Apartment)",18108,PARK VIEW,DR,S,HOUSTON,77084.0,-95.690348,29.793025
181153524,2024-12-31,1,13B,Simple assault,2,15E10,"Residence, Home (Includes Apartment)",7047,BISSONNET,ST,,HOUSTON,77074.0,-95.506603,29.687863
181363024,2024-12-31,1,240,Motor vehicle theft,1,17E10,"Residence, Home (Includes Apartment)",6111,GLENMONT,DR,,HOUSTON,77081.0,-95.489309,29.71999
181156324,2024-12-31,2,13B,Simple assault,2,12D10,"Residence, Home (Includes Apartment)",4300,SHAVER,ST,S,HOUSTON,77034.0,-95.20784,29.64542
181156324,2024-12-31,2,290,"Destruction, damage, vandalism",1,12D10,"Residence, Home (Includes Apartment)",4300,SHAVER,ST,S,HOUSTON,77034.0,-95.20784,29.64542
181157024,2024-12-31,2,220,"Burglary, Breaking and Entering",1,15E40,"Residence, Home (Includes Apartment)",8877,LAKES AT 610,DR,,HOUSTON,77054.0,-95.419061,29.67565
