DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
250304179,2/15/2025 0:00,2/14/2025 0:00,1200,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,3700    WATT                         WY,,34.0228,-118.2862
251204190,2/14/2025 0:00,2/14/2025 0:00,1500,12,77th Street,1239,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1258 1822 0305 0444 0319 0421 1251,13,M,B,124,BUS STOP,511,VERBAL THREAT,IC,Invest Cont,930,,,,6000 S  VERMONT                      AV,,33.9855,-118.2915
251304132,2/14/2025 0:00,2/14/2025 0:00,1530,13,Newton,1353,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,4400    MCKINLEY                     AV,,34.0039,-118.2609
250304181,2/15/2025 0:00,2/14/2025 0:00,1700,3,Southwest,308,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,1000 W  22ND                         ST,,34.035,-118.2811
251704117,2/13/2025 0:00,2/13/2025 0:00,1030,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,0344 0913,49,M,W,720,JUNIOR HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,10100    VARIEL                       AV,,34.2536,-118.593
250104175,2/12/2025 0:00,2/12/2025 0:00,340,1,Central,127,2,946,OTHER MISCELLANEOUS CRIME,,0,M,X,753,DETENTION/JAIL FACILITY,,,IC,Invest Cont,946,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
251904120,2/12/2025 0:00,2/12/2025 0:00,1430,19,Mission,1902,2,900,VIOLATION OF COURT ORDER,553,36,M,H,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,900,,,,14500    BLEDSOE                      ST,,34.3199,-118.449
251904122,2/13/2025 0:00,2/12/2025 0:00,1430,19,Mission,1902,2,900,VIOLATION OF COURT ORDER,2038,36,M,H,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,900,,,,14500    BLEDSOE                      ST,,34.3199,-118.449
251004149,2/12/2025 0:00,2/11/2025 0:00,2230,10,West Valley,1001,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1602 0329,0,M,H,721,HIGH SCHOOL,,,IC,Invest Cont,740,,,,8200    VANALDEN                     AV,,34.2193,-118.5492
250304173,2/13/2025 0:00,2/11/2025 0:00,2130,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,3700    MCCLINTOCK                   AV,,34.0197,-118.2905
251804136,2/11/2025 0:00,2/11/2025 0:00,730,18,Southeast,1842,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,0,X,X,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,740,,,,200 E  112TH                        ST,,33.933,-118.2716
251904114,2/10/2025 0:00,2/10/2025 0:00,1539,19,Mission,1958,2,624,BATTERY - SIMPLE ASSAULT,1251 0416 0419 1259,17,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,WOODALE,HOYT,34.2518,-118.4398
